"CRUISEID","YR","SOURCE","VESSEL","CRUISE_NO","STARTCRU","ENDCRU","TITLE","NOTE","INGEST_SOURCE","INGEST_PROGRAM_VER"
"1","1982","US","04","125","24/2/1982","31/3/1982","Spring Groundfish Survey","0",,
"2","1982","US","04","126","15/4/1982","25/5/1982","Spring SEAMAP Plankton Survey","0",,
"3","1982","FL","09","821","16/5/1982","16/5/1982","Spring SEAMAP Plankton Survey","0",,
"4","1982","LA","25","821","1/6/1982","13/7/1982","Spring SEAMAP Plankton Survey","0",,
"5","1982","US","04","127","1/6/1982","14/7/1982","Summer SEAMAP Groundfish Survey","0",,
"6","1982","MS","17","821","6/6/1982","10/6/1982","Summer SEAMAP Groundfish Survey","0",,
"7","1982","AL","23","821","8/6/1982","3/6/1982","Summer SEAMAP Groundfish Survey","0",,
"8","1982","FL","09","822","8/6/1982","13/6/1982","Spring SEAMAP Plankton Survey","0",,
"9","1982","US","20","823","16/6/1982","6/7/1982","Summer Groundfish Survey","0",,
"10","1982","FL","09","823","20/6/1982","22/6/1982","Spring SEAMAP Plankton Survey","0",,
"11","1982","TX","16","823","23/6/1982","26/6/1982","Summer SEAMAP Groundfish Survey","0",,
"12","1982","TX","16","824","30/6/1982","1/7/1982","Summer SEAMAP Groundfish Survey","0",,
"13","1982","TX","24","825","9/7/1982","13/7/1982","Summer SEAMAP Groundfish Survey","0",,
"14","1983","US","04","133","8/3/1983","13/4/1983","Spring Groundfish Survey","0",,
"15","1983","US","04","134","22/4/1983","23/5/1983","Spring SEAMAP Plankton Survey","0",,
"16","1983","US","04","135","1/6/1983","16/6/1983","Summer SEAMAP Groundfish Survey","0",,
"17","1983","MS","17","831","7/6/1983","14/6/1983","Summer SEAMAP Groundfish Survey","0",,
"18","1983","AL","23","831","9/6/1983","2/7/1983","Summer SEAMAP Groundfish Survey","0",,
"19","1983","LA","25","831","13/6/1983","16/6/1983","Summer SEAMAP Groundfish Survey","0",,
"20","1983","FL","26","831","15/6/1983","5/7/1983","Spring SEAMAP Plankton Survey","0",,
"21","1983","TX","16","831","21/6/1983","22/6/1983","Summer SEAMAP Groundfish Survey","0",,
"22","1983","LA","25","832","21/6/1983","23/6/1983","Summer SEAMAP Groundfish Survey","0",,
"23","1983","FL","09","831","26/6/1983","29/6/1983","Spring SEAMAP Plankton Survey","0",,
"24","1983","TX","16","832","29/6/1983","1/7/1983","Summer SEAMAP Groundfish Survey","0",,
"25","1983","LA","25","833","5/7/1983","5/7/1983","Spring SEAMAP Plankton Survey","0",,
"26","1983","TX","16","833","6/7/1983","11/7/1983","Summer SEAMAP Groundfish Survey","0",,
"27","1983","FL","09","832","12/7/1983","14/7/1983","Fall SEAMAP Plankton Survey","0",,
"28","1983","US","04","138","12/10/1983","14/11/1983","Fall Groundfish Survey","0",,
"29","1983","LA","25","834","17/10/1983","17/11/1983","Fall SEAMAP Plankton Survey","0",,
"30","1983","MS","17","832","18/10/1983","18/10/1983","Fall SEAMAP Plankton Survey","0",,
"31","1983","US","04","140","8/12/1983","21/12/1983","Winter SEAMAP Plankton Survey","0",,
"32","1984","US","04","142","8/3/1984","11/4/1984","Spring Groundfish/Plankton Survey","0",,
"33","1984","US","04","143","21/4/1984","22/5/1984","Spring SEAMAP Plankton Survey","0",,
"34","1984","LA","25","841","5/6/1984","20/6/1984","Summer SEAMAP Groundfish Survey","0",,
"35","1984","US","04","145","6/6/1984","6/6/1984","Summer SEAMAP Groundfish Survey","0",,
"36","1984","AL","23","841","6/6/1984","25/7/1984","Summer SEAMAP Groundfish Survey","0",,
"37","1984","MS","17","841","8/6/1984","27/7/1984","Summer SEAMAP Groundfish Survey","0",,
"38","1984","LA","25","842","9/7/1984","24/7/1984","Summer SEAMAP Groundfish Survey","0",,
"39","1984","US","04","146","2/8/1984","27/8/1984","Fall SEAMAP Plankton Survey","0",,
"40","1984","LA","25","843","14/8/1984","24/10/1984","Fall SEAMAP Plankton Survey","0",,
"41","1984","FL","30","841","25/8/1984","29/8/1984","Fall SEAMAP Plankton Survey","0",,
"42","1984","US","04","148","9/10/1984","14/11/1984","Fall Groundfish Survey","0",,
"43","1984","LA","25","844","31/10/1984","28/11/1984","Fall SEAMAP Plankton Survey","0",,
"44","1984","MS","17","842","7/11/1984","8/11/1984","Winter SEAMAP Plankton Survey","0",,
"45","1984","US","04","149","1/12/1984","17/12/1984","Winter SEAMAP Plankton Survey","0",,
"46","1985","US","04","151","5/3/1985","28/3/1985","Spring Groundfish Survey","0",,
"47","1985","FL","30","851","5/6/1985","14/6/1985","Spring SEAMAP Plankton Survey","0",,
"48","1985","US","04","153","10/6/1985","10/6/1985","Summer SEAMAP Groundfish Survey","0",,
"49","1985","LA","25","851","10/6/1985","26/6/1985","Summer SEAMAP Groundfish Survey","0",,
"50","1985","AL","23","851","10/6/1985","15/7/1985","Summer SEAMAP Groundfish Survey","0",,
"51","1985","MS","17","851","10/6/1985","12/6/1985","Summer SEAMAP Groundfish Survey","0",,
"52","1985","TX","32","851","15/6/1985","26/6/1985","Summer SEAMAP Groundfish Survey","0",,
"53","1985","LA","35","852","18/6/1985","21/6/1985","Summer SEAMAP Groundfish Survey","0",,
"54","1985","TX","31","851","26/6/1985","29/6/1985","Summer SEAMAP Groundfish Survey","0",,
"55","1985","TX","33","851","29/6/1985","1/7/1985","Summer SEAMAP Groundfish Survey","0",,
"56","1985","LA","35","853","22/7/1985","25/7/1985","Summer SEAMAP Groundfish Survey","0",,
"57","1985","US","04","154","30/7/1985","26/8/1985","SEAMAP Butterfish Survey","0",,
"58","1985","MS","17","852","2/8/1985","13/8/1985","SEAMAP Butterfish Survey","0",,
"59","1985","MS","17","854","22/8/1985","24/8/1985","Summer SEAMAP Groundfish Survey","0",,
"60","1985","LA","35","854","16/9/1985","4/10/1985","Fall Groundfish Survey","0",,
"61","1985","US","04","156","15/10/1985","15/10/1985","Fall Groundfish Survey","0",,
"62","1985","AL","23","852","15/10/1985","15/10/1985","Fall Groundfish Survey","0",,
"63","1985","LA","25","855","5/11/1985","7/11/1985","Winter SEAMAP Plankton Survey","0",,
"64","1985","MS","17","853","12/11/1985","14/11/1985","Fall Groundfish Survey","0",,
"65","1985","TX","34","852","16/11/1985","17/11/1985","Fall Groundfish Survey","0",,
"66","1985","TX","32","852","18/11/1985","19/11/1985","Fall Groundfish Survey","0",,
"67","1985","TX","31","852","21/11/1985","21/11/1985","Fall Groundfish Survey","0",,
"68","1985","TX","33","852","22/11/1985","22/11/1985","Fall Groundfish Survey","0",,
"69","1985","LA","35","856","3/12/1985","13/12/1985","Winter SEAMAP Trawl Survey","0",,
"70","1986","US","04","159","22/4/1986","22/5/1986","Spring SEAMAP Plankton Survey","0",,
"71","1986","FL","54","861","4/5/1986","6/5/1986","Spring SEAMAP Plankton Survey","0",,
"72","1986","LA","35","861","5/5/1986","8/5/1986","Spring SEAMAP Trawl Survey","0",,
"73","1986","MS","17","861","13/5/1986","30/5/1986","SEAMAP Butterfish Survey","0",,
"74","1986","MS","17","862","10/6/1986","12/6/1986","Summer SEAMAP Groundfish Survey","0",,
"75","1986","AL","23","861","10/6/1986","17/7/1986","Summer SEAMAP Groundfish Survey","0",,
"76","1986","US","04","160","10/6/1986","18/7/1986","Summer SEAMAP Groundfish Survey","0",,
"77","1986","LA","25","862","11/6/1986","19/6/1986","Summer SEAMAP Groundfish Survey","0",,
"78","1986","LA","35","863","16/6/1986","19/6/1986","Summer SEAMAP Groundfish Survey","0",,
"79","1986","TX","33","861","22/6/1986","23/6/1986","Summer SEAMAP Groundfish Survey","0",,
"80","1986","TX","31","861","23/6/1986","24/6/1986","Summer SEAMAP Groundfish Survey","0",,
"81","1986","TX","34","861","23/6/1986","25/6/1986","Summer SEAMAP Groundfish Survey","0",,
"82","1986","TX","32","861","23/6/1986","24/6/1986","Summer SEAMAP Groundfish Survey","0",,
"83","1986","MS","17","863","15/7/1986","18/7/1986","Summer SEAMAP Groundfish Survey","0",,
"84","1986","US","04","161","3/9/1986","26/9/1986","Fall SEAMAP Plankton Survey","0",,
"85","1986","FL","36","862","6/9/1986","13/9/1986","Fall SEAMAP Plankton Survey","0",,
"86","1986","MS","17","864","8/9/1986","10/9/1986","Fall SEAMAP Plankton Survey","0",,
"87","1986","US","28","865","13/9/1986","22/9/1986","Fall SEAMAP Plankton Survey","0",,
"88","1986","AL","23","862","22/9/1986","18/9/1986","Fall SEAMAP Plankton Survey","0",,
"89","1986","US","04","163","23/10/1986","23/11/1986","Fall SEAMAP Groundfish Survey","0",,
"90","1986","LA","35","864","27/10/1986","30/10/1986","Fall SEAMAP Groundfish Survey","0",,
"91","1986","AL","23","863","28/10/1986","28/10/1986","Fall SEAMAP Groundfish Survey","0",,
"92","1986","MS","17","865","29/10/1986","31/10/1986","Fall SEAMAP Groundfish Survey","0",,
"93","1986","LA","25","865","5/11/1986","6/11/1986","Fall SEAMAP Groundfish Survey","0",,
"94","1986","FL","36","864","15/11/1986","21/11/1986","Winter SEAMAP Plankton Survey","0",,
"95","1986","TX","33","862","17/11/1986","17/11/1986","Fall SEAMAP Groundfish Survey","0",,
"96","1986","TX","32","862","17/11/1986","17/11/1986","Fall SEAMAP Groundfish Survey","0",,
"97","1986","TX","31","862","17/11/1986","17/11/1986","Fall SEAMAP Groundfish Survey","0",,
"98","1986","TX","34","862","18/11/1986","20/11/1986","Fall SEAMAP Groundfish Survey","0",,
"99","1986","LA","35","866","1/12/1986","4/12/1986","Winter SEAMAP Trawl Survey","0",,
"100","1987","MS","17","871","9/4/1987","18/4/1987","SEAMAP Butterfish Survey","0",,
"101","1987","LA","35","871","14/4/1987","20/5/1987","Spring SEAMAP Trawl Survey","0",,
"102","1987","US","04","166","15/4/1987","22/5/1987","Spring SEAMAP Plankton Survey","0",,
"103","1987","FL","36","873","1/5/1987","9/5/1987","Spring SEAMAP Plankton Survey","0",,
"104","1987","TX","31","871","2/6/1987","16/6/1987","Summer SEAMAP Groundfish Survey","0",,
"105","1987","TX","32","871","2/6/1987","16/6/1987","Summer SEAMAP Groundfish Survey","0",,
"106","1987","TX","40","871","3/6/1987","16/6/1987","Summer SEAMAP Groundfish Survey","0",,
"107","1987","TX","33","871","6/6/1987","17/6/1987","Summer SEAMAP Groundfish Survey","0",,
"108","1987","TX","34","871","11/6/1987","16/6/1987","Summer SEAMAP Groundfish Survey","0",,
"109","1987","US","04","167","11/6/1987","14/7/1987","Summer SEAMAP Groundfish Survey","0",,
"110","1987","MS","17","872","11/6/1987","12/6/1987","Summer SEAMAP Groundfish Survey","0",,
"111","1987","AL","23","871","12/6/1987","12/6/1987","Summer SEAMAP Groundfish Survey","0",,
"112","1987","LA","25","873","6/7/1987","9/7/1987","Summer SEAMAP Groundfish Survey","0",,
"113","1987","LA","35","872","7/7/1987","11/7/1987","Summer SEAMAP Groundfish Survey","0",,
"114","1987","AL","23","872","10/7/1987","15/7/1987","Summer SEAMAP Groundfish Survey","0",,
"115","1987","FL","36","875","1/9/1987","8/9/1987","Fall SEAMAP Plankton Survey","0",,
"116","1987","US","04","169","12/9/1987","27/9/1987","Fall SEAMAP Plankton Survey","0",,
"117","1987","MS","17","873","15/9/1987","18/9/1987","Fall SEAMAP Plankton Survey","0",,
"118","1987","AL","23","873","16/9/1987","16/9/1987","Fall SEAMAP Plankton Survey","0",,
"119","1987","LA","35","874","28/9/1987","1/10/1987","Fall SEAMAP Groundfish Survey","0",,
"120","1987","LA","35","876","20/10/1987","20/10/1987","Fall SEAMAP Groundfish Survey","0",,
"121","1987","US","04","171","23/10/1987","22/11/1987","Fall SEAMAP Groundfish Survey","0",,
"122","1987","MS","17","874","25/10/1987","26/10/1987","Fall SEAMAP Groundfish Survey","0",,
"123","1987","AL","23","874","26/10/1987","26/10/1987","Fall SEAMAP Groundfish Survey","0",,
"124","1987","AL","23","875","28/10/1987","2/11/1987","Fall SEAMAP Groundfish Survey","0",,
"125","1987","TX","40","872","1/11/1987","24/11/1987","Fall SEAMAP Groundfish Survey","0",,
"126","1987","TX","31","872","2/11/1987","18/11/1987","Fall SEAMAP Groundfish Survey","0",,
"127","1987","TX","34","872","3/11/1987","30/11/1987","Fall SEAMAP Groundfish Survey","0",,
"128","1987","TX","33","872","3/11/1987","30/11/1987","Fall SEAMAP Groundfish Survey","0",,
"129","1987","TX","32","872","3/11/1987","21/11/1987","Fall SEAMAP Groundfish Survey","0",,
"130","1987","LA","25","875","12/11/1987","13/11/1987","Fall SEAMAP Groundfish Survey","0",,
"131","1987","LA","35","877","30/11/1987","3/12/1987","Fall SEAMAP Groundfish Survey","0",,
"132","1988","LA","35","881","28/3/1988","31/3/1988","Spring SEAMAP Trawl Survey","0",,
"133","1988","US","04","173","20/4/1988","26/5/1988","Spring SEAMAP Plankton Survey","0",,
"134","1988","FL","36","881","2/5/1988","7/5/1988","Spring SEAMAP Plankton Survey","0",,
"135","1988","TX","31","881","2/6/1988","23/6/1988","Summer SEAMAP Groundfish Survey","0",,
"136","1988","TX","40","881","2/6/1988","16/6/1988","Summer SEAMAP Groundfish Survey","0",,
"137","1988","TX","34","881","3/6/1988","21/6/1988","Summer SEAMAP Groundfish Survey","0",,
"138","1988","TX","32","881","3/6/1988","22/6/1988","Summer SEAMAP Groundfish Survey","0",,
"139","1988","MS","17","881","11/6/1988","11/7/1988","Summer SEAMAP Groundfish Survey","0",,
"140","1988","US","04","174","13/6/1988","14/7/1988","Summer SEAMAP Groundfish Survey","0",,
"141","1988","TX","33","881","14/6/1988","23/6/1988","Summer SEAMAP Groundfish Survey","0",,
"142","1988","AL","23","881","16/6/1988","17/6/1988","Summer SEAMAP Groundfish Survey","0",,
"143","1988","LA","25","883","5/7/1988","14/7/1988","Summer SEAMAP Groundfish Survey","0",,
"144","1988","LA","35","882","11/7/1988","14/7/1988","Summer SEAMAP Groundfish Survey","0",,
"145","1988","AL","23","882","12/7/1988","12/7/1988","Summer SEAMAP Groundfish Survey","0",,
"146","1988","US","04","176","25/8/1988","28/9/1988","Fall SEAMAP Plankton Survey","0",,
"147","1988","FL","36","882","26/8/1988","2/9/1988","Fall SEAMAP Plankton Survey","0",,
"148","1988","AL","23","883","12/9/1988","12/9/1988","Fall SEAMAP Plankton Survey","0",,
"149","1988","MS","17","882","13/9/1988","30/9/1988","Fall SEAMAP Plankton Survey","0",,
"150","1988","LA","35","884","3/10/1988","12/10/1988","Fall SEAMAP Groundfish Survey","0",,
"151","1988","US","04","177","8/10/1988","8/10/1988","Fall SEAMAP Groundfish Survey","0",,
"152","1988","TX","33","882","2/11/1988","23/11/1988","Fall SEAMAP Groundfish Survey","0",,
"153","1988","TX","32","882","2/11/1988","23/11/1988","Fall SEAMAP Groundfish Survey","0",,
"154","1988","TX","40","882","2/11/1988","22/11/1988","Fall SEAMAP Groundfish Survey","0",,
"155","1988","LA","25","885","3/11/1988","14/11/1988","Fall SEAMAP Groundfish Survey","0",,
"156","1988","TX","34","882","8/11/1988","23/11/1988","Fall SEAMAP Groundfish Survey","0",,
"157","1988","MS","17","883","9/11/1988","12/11/1988","Fall SEAMAP Groundfish Survey","0",,
"158","1988","TX","31","882","13/11/1988","6/12/1988","Fall SEAMAP Groundfish Survey","0",,
"159","1988","LA","35","886","28/11/1988","15/12/1988","Winter SEAMAP Trawl Survey","0",,
"160","1989","LA","35","891","20/3/1989","9/4/1989","Spring SEAMAP Trawl Survey","0",,
"161","1989","US","49","892","24/4/1989","19/5/1989","Spring SEAMAP Plankton Survey","0",,
"162","1989","FL","36","891","11/5/1989","16/5/1989","Spring SEAMAP Plankton Survey","0",,
"163","1989","TX","40","891","2/6/1989","20/6/1989","Summer SEAMAP Groundfish Survey","0",,
"164","1989","TX","33","891","6/6/1989","16/6/1989","Summer SEAMAP Groundfish Survey","0",,
"165","1989","TX","34","891","6/6/1989","19/6/1989","Summer SEAMAP Groundfish Survey","0",,
"166","1989","TX","32","891","6/6/1989","20/6/1989","Summer SEAMAP Groundfish Survey","0",,
"167","1989","AL","23","891","7/6/1989","7/6/1989","Summer SEAMAP Groundfish Survey","0",,
"168","1989","TX","31","891","7/6/1989","20/6/1989","Summer SEAMAP Groundfish Survey","0",,
"169","1989","MS","17","891","9/6/1989","11/7/1989","Summer SEAMAP Groundfish Survey","0",,
"170","1989","US","04","180","16/6/1989","16/7/1989","Summer SEAMAP Groundfish Survey","0",,
"171","1989","LA","35","892","10/7/1989","13/7/1989","Summer SEAMAP Groundfish Survey","0",,
"172","1989","LA","25","893","10/7/1989","12/7/1989","Summer SEAMAP Groundfish Survey","0",,
"173","1989","AL","23","892","11/7/1989","14/7/1989","Summer SEAMAP Groundfish Survey","0",,
"174","1989","US","04","183","2/9/1989","29/9/1989","Fall SEAMAP Plankton Survey","0",,
"175","1989","AL","23","893","12/9/1989","12/9/1989","Fall SEAMAP Plankton Survey","0",,
"176","1989","MS","17","892","16/9/1989","19/9/1989","Fall SEAMAP Plankton Survey","0",,
"177","1989","LA","35","894","2/10/1989","6/10/1989","Fall SEAMAP Groundfish Survey","0",,
"178","1989","FL","36","892","4/10/1989","11/10/1989","Fall SEAMAP Plankton Survey","0",,
"179","1989","US","04","184","16/10/1989","19/11/1989","Fall SEAMAP Groundfish Survey","0",,
"180","1989","AL","23","894","25/10/1989","25/10/1989","Fall SEAMAP Groundfish Survey","0",,
"181","1989","TX","33","892","1/11/1989","21/11/1989","Fall SEAMAP Groundfish Survey","0",,
"182","1989","TX","40","892","7/11/1989","21/11/1989","Fall SEAMAP Groundfish Survey","0",,
"183","1989","TX","32","892","10/11/1989","21/12/1989","Fall SEAMAP Groundfish Survey","0",,
"184","1989","LA","35","896","11/11/1989","12/11/1989","SEAMAP Comparitive Tow","0",,
"185","1989","TX","34","892","12/11/1989","21/11/1989","Fall SEAMAP Groundfish Survey","0",,
"186","1989","LA","25","895","13/11/1989","20/11/1989","Fall SEAMAP Groundfish Survey","0",,
"187","1989","TX","31","892","13/11/1989","21/11/1989","Fall SEAMAP Groundfish Survey","0",,
"188","1989","MS","17","893","17/11/1989","20/11/1989","Fall SEAMAP Groundfish Survey","0",,
"189","1989","LA","35","897","13/12/1989","14/12/1989","Winter SEAMAP Trawl Survey","0",,
"190","1990","LA","35","901","11/4/1990","13/4/1990","Spring SEAMAP Trawl Survey","0",,
"191","1990","US","04","187","20/4/1990","24/5/1990","Spring SEAMAP Plankton Survey","0",,
"192","1990","FL","36","901","24/5/1990","30/5/1990","Spring SEAMAP Plankton Survey","0",,
"193","1990","US","04","188","30/5/1990","5/6/1990","Reef Fish Survey","0",,
"194","1990","US","28","904","30/5/1990","30/6/1990","Spring SEAMAP Plankton Survey","0",,
"195","1990","AL","23","901","7/6/1990","11/6/1990","Summer SEAMAP Groundfish Survey","0",,
"196","1990","MS","17","901","9/6/1990","7/8/1990","Summer SEAMAP Groundfish Survey","0",,
"197","1990","TX","33","901","10/6/1990","18/6/1990","Summer SEAMAP Groundfish Survey","0",,
"198","1990","TX","32","901","11/6/1990","18/6/1990","Summer SEAMAP Groundfish Survey","0",,
"199","1990","TX","31","901","12/6/1990","19/6/1990","Summer SEAMAP Groundfish Survey","0",,
"200","1990","TX","40","901","12/6/1990","18/6/1990","Summer SEAMAP Groundfish Survey","0",,
"201","1990","TX","34","901","13/6/1990","21/6/1990","Summer SEAMAP Groundfish Survey","0",,
"202","1990","US","04","189","14/6/1990","13/7/1990","Summer SEAMAP Groundfish Survey","0",,
"203","1990","LA","25","903","9/7/1990","11/7/1990","Summer SEAMAP Groundfish Survey","0",,
"204","1990","LA","35","902","9/7/1990","12/7/1990","Summer SEAMAP Groundfish Survey","0",,
"205","1990","AL","23","902","12/7/1990","12/7/1990","Summer SEAMAP Groundfish Survey","0",,
"206","1990","US","04","190","2/9/1990","29/9/1990","Fall SEAMAP Plankton Survey","0",,
"207","1990","MS","17","902","7/9/1990","16/9/1990","Fall SEAMAP Plankton Survey","0",,
"208","1990","AL","23","903","19/9/1990","19/9/1990","Fall SEAMAP Plankton Survey","0",,
"209","1990","LA","35","904","1/10/1990","4/10/1990","Fall SEAMAP Groundfish Survey","0",,
"210","1990","US","04","191","12/10/1990","18/11/1990","Fall SEAMAP Groundfish Survey","0",,
"211","1990","FL","36","902","13/10/1990","18/10/1990","Fall SEAMAP Plankton Survey","0",,
"212","1990","TX","33","902","1/11/1990","16/11/1990","Fall SEAMAP Groundfish Survey","0",,
"213","1990","TX","32","902","1/11/1990","16/11/1990","Fall SEAMAP Groundfish Survey","0",,
"214","1990","TX","40","902","1/11/1990","16/11/1990","Fall SEAMAP Groundfish Survey","0",,
"215","1990","TX","34","902","6/11/1990","19/11/1990","Fall SEAMAP Groundfish Survey","0",,
"216","1990","LA","25","905","7/11/1990","14/11/1990","Fall SEAMAP Groundfish Survey","0",,
"217","1990","TX","31","902","12/11/1990","28/11/1990","Fall SEAMAP Groundfish Survey","0",,
"218","1990","AL","23","904","13/11/1990","15/11/1990","Fall SEAMAP Groundfish Survey","0",,
"219","1990","MS","17","903","15/11/1990","18/11/1990","Fall SEAMAP Groundfish Survey","0",,
